ID,SampleDate,ForkLength,Julian,GeneticID,PosProb,Ots28,LengthByDate,SampleDate2
U110035CVP,1/15/2011,40,199,Fall/LateFall,0.648,,Fall,1/15/2011 8:00
U110039CVP,1/17/2011,40,201,Fall/LateFall,0.997,,Fall,1/17/2011 8:00
U110042CVP,1/18/2011,35,202,Fall/LateFall,0.998,,Fall,1/18/2011 16:00
U110043CVP,1/18/2011,38,203,Fall/LateFall,0.999,,Fall,1/18/2011 20:00
U110045CVP,1/19/2011,40,203,Fall/LateFall,0.986,,Fall,1/19/2011 8:00
U110046CVP,1/19/2011,129,204,Fall/LateFall,0.986,,Winter,1/19/2011 16:00
U110047CVP,1/20/2011,155,204,Fall/LateFall,0.847,,Winter,1/20/2011 4:00
U110050CVP,1/21/2011,155,205,Spring,0.864,,Winter,1/21/2011 22:00
U110049CVP,1/21/2011,38,206,Fall/LateFall,0.998,,Fall,1/21/2011 20:00
U110056CVP,1/22/2011,37,206,Fall/LateFall,0.846,,Fall,1/22/2011 23:59
U110055CVP,1/22/2011,38,206,Fall/LateFall,0.954,,Fall,1/22/2011 18:00
U110060CVP,1/23/2011,33,207,Fall/LateFall,0.698,,Fall,1/23/2011 4:00
U110059CVP,1/23/2011,35,207,Fall/LateFall,1,,Fall,1/23/2011 2:00
U110063CVP,1/23/2011,35,207,Fall/LateFall,0.999,,Fall,1/23/2011 6:00
U110064CVP,1/23/2011,35,207,Fall/LateFall,0.999,,Fall,1/23/2011 6:00
U110070CVP,1/23/2011,36,207,Fall/LateFall,0.998,,Fall,1/23/2011 23:59
U110061CVP,1/23/2011,37,207,Fall/LateFall,0.844,,Fall,1/23/2011 4:00
U110057CVP,1/23/2011,130,207,Fall/LateFall,0.73,,Winter,1/23/2011 2:00
U110069CVP,1/23/2011,35,208,Fall/LateFall,0.998,,Fall,1/23/2011 23:59
U110071CVP,1/24/2011,37,208,Fall/LateFall,0.993,,Fall,1/24/2011 6:00
U110072CVP,1/24/2011,37,208,Fall/LateFall,0.999,,Fall,1/24/2011 8:00
U110073CVP,1/24/2011,37,208,Fall/LateFall,1,,Fall,1/24/2011 8:00
U110074CVP,1/24/2011,36,209,Fall/LateFall,0.963,,Fall,1/24/2011 16:00
U110076CVP,1/24/2011,36,209,Fall/LateFall,0.997,,Fall,1/24/2011 22:00
U110078CVP,1/25/2011,41,209,Fall/LateFall,0.983,,Fall,1/25/2011 22:00
U110079CVP,1/25/2011,36,210,Fall/LateFall,1,,Fall,1/25/2011 22:00
U110085CVP,1/26/2011,37,210,Fall/LateFall,0.985,,Fall,1/26/2011 6:00
U110083CVP,1/26/2011,38,210,Fall/LateFall,0.956,,Fall,1/26/2011 4:00
U110084CVP,1/26/2011,38,210,Fall/LateFall,1,,Fall,1/26/2011 6:00
U110086CVP,1/26/2011,124,210,Fall/LateFall,0.764,,Winter,1/26/2011 8:00
U110087CVP,1/26/2011,140,210,Fall/LateFall,0.999,,Winter,1/26/2011 14:00
U110089CVP,1/27/2011,33,211,Fall/LateFall,0.997,,Fall,1/27/2011 2:00
U110090CVP,1/27/2011,36,211,Fall/LateFall,1,,Fall,1/27/2011 2:00
U110091CVP,1/27/2011,37,211,Fall/LateFall,0.732,,Fall,1/27/2011 2:00
U110093CVP,1/27/2011,37,211,Spring,0.962,,Fall,1/27/2011 6:00
U110094CVP,1/27/2011,37,211,Fall/LateFall,0.955,,Fall,1/27/2011 6:00
U110095CVP,1/27/2011,37,211,Fall/LateFall,0.999,,Fall,1/27/2011 8:00
U110096CVP,1/27/2011,37,211,Fall/LateFall,1,,Fall,1/27/2011 8:00
U110088CVP,1/27/2011,139,211,Fall/LateFall,0.998,,Winter,1/27/2011 2:00
U110102CVP,1/28/2011,34,212,Fall/LateFall,0.917,,Fall,1/28/2011 16:00
U110101CVP,1/28/2011,36,212,Fall/LateFall,0.996,,Fall,1/28/2011 4:00
U110099CVP,1/28/2011,38,212,Fall/LateFall,0.949,,Fall,1/28/2011 2:00
U110100CVP,1/28/2011,134,212,Fall/LateFall,0.99,,Winter,1/28/2011 4:00
U110103CVP,1/28/2011,40,213,Fall/LateFall,0.999,,Fall,1/28/2011 18:00
U110105CVP,1/29/2011,34,213,Fall/LateFall,0.991,,Fall,1/29/2011 4:00
U110108CVP,1/29/2011,36,213,Spring,0.694,,Fall,1/29/2011 10:00
U110106CVP,1/29/2011,36,213,Fall/LateFall,0.7,,Fall,1/29/2011 4:00
U110104CVP,1/29/2011,38,213,Fall/LateFall,1,,Fall,1/29/2011 2:00
U110109CVP,1/29/2011,156,213,Spring,0.726,,Winter,1/29/2011 18:00
U110107CVP,1/29/2011,158,213,Spring,0.913,,Winter,1/29/2011 8:00
U110110CVP,1/29/2011,142,214,Fall/LateFall,0.95,,Winter,1/29/2011 18:00
U110115CVP,1/30/2011,33,214,Fall/LateFall,0.997,,Fall,1/30/2011 8:00
U110111CVP,1/30/2011,36,214,Fall/LateFall,0.986,,Fall,1/30/2011 2:00
U110113CVP,1/30/2011,37,214,Fall/LateFall,0.999,,Fall,1/30/2011 6:00
U110112CVP,1/30/2011,37,214,Fall/LateFall,0.981,,Fall,1/30/2011 4:00
U110114CVP,1/30/2011,37,214,Fall/LateFall,0.943,,Fall,1/30/2011 8:00
U110116CVP,1/30/2011,38,214,Fall/LateFall,0.995,,Fall,1/30/2011 14:00
U110117CVP,1/31/2011,40,215,Fall/LateFall,0.998,,Fall,1/31/2011 2:00
U110118CVP,1/31/2011,40,216,Fall/LateFall,0.958,,Fall,1/31/2011 20:00
U110120CVP,2/1/2011,38,216,Fall/LateFall,0.999,,Fall,2/1/2011 14:00
U110119CVP,2/1/2011,130,216,Spring,0.593,,Winter,2/1/2011 2:00
U110121CVP,2/2/2011,37,217,Fall/LateFall,0.971,,Fall,2/2/2011 4:00
U110122CVP,2/2/2011,39,217,Fall/LateFall,0.997,,Fall,2/2/2011 10:00
U110123CVP,2/3/2011,30,218,Fall/LateFall,1,,Fall,2/3/2011 2:00
U110124CVP,2/3/2011,41,218,Fall/LateFall,0.991,,Fall,2/3/2011 10:00
U110126CVP,2/3/2011,38,219,Fall/LateFall,0.982,,Fall,2/3/2011 18:00
U110125CVP,2/3/2011,125,219,Fall/LateFall,0.993,,Winter,2/3/2011 14:00
U110128CVP,2/4/2011,39,219,Fall/LateFall,0.956,,Fall,2/4/2011 8:00
U110127CVP,2/4/2011,154,219,Fall/LateFall,0.983,,Winter,2/4/2011 6:00
U110129CVP,2/4/2011,39,220,Fall/LateFall,0.986,,Fall,2/4/2011 14:00
U110130CVP,2/5/2011,45,220,Fall/LateFall,1,,Fall,2/5/2011 14:00
U110131CVP,2/6/2011,130,221,Fall/LateFall,0.6,,Winter,2/6/2011 2:00
U110133CVP,2/6/2011,38,222,Fall/LateFall,0.997,,Fall,2/6/2011 22:00
U110132CVP,2/6/2011,40,222,Fall/LateFall,0.967,,Fall,2/6/2011 20:00
U110134CVP,2/8/2011,39,224,Fall/LateFall,0.999,,Fall,2/8/2011 20:00
U110135CVP,2/9/2011,41,224,Fall/LateFall,0.992,,Fall,2/9/2011 6:00
U110137CVP,2/9/2011,45,225,Fall/LateFall,1,,Fall,2/9/2011 18:00
U110139CVP,2/10/2011,44,225,Fall/LateFall,1,,Fall,2/10/2011 20:00
U110138CVP,2/10/2011,42,226,Fall/LateFall,0.989,,Fall,2/10/2011 16:00
U110140CVP,2/15/2011,37,230,Fall/LateFall,0.995,,Fall,2/15/2011 6:00
U110141CVP,2/16/2011,45,231,Fall/LateFall,0.997,,Fall,2/16/2011 10:00
U110143CVP,2/17/2011,39,232,Fall/LateFall,0.792,,Fall,2/17/2011 14:00
U110142CVP,2/17/2011,37,233,Fall/LateFall,0.991,,Fall,2/17/2011 12:00
U110144CVP,2/17/2011,156,233,Winter,0.986,,Winter,2/17/2011 18:00
U110146CVP,2/18/2011,37,233,Fall/LateFall,0.951,,Fall,2/18/2011 6:00
U110145CVP,2/18/2011,37,233,Fall/LateFall,0.979,,Fall,2/18/2011 6:00
U110147CVP,2/19/2011,165,235,Fall/LateFall,0.964,,Winter,2/19/2011 22:00
U110149CVP,2/20/2011,140,235,Fall/LateFall,0.936,,Winter,2/20/2011 20:00
U110148CVP,2/20/2011,37,236,Fall/LateFall,1,,Fall,2/20/2011 12:00
U110151CVP,2/21/2011,140,236,Fall/LateFall,0.805,,Winter,2/21/2011 6:00
U110153CVP,2/21/2011,35,237,Fall/LateFall,0.986,,Fall,2/21/2011 12:00
U110154CVP,2/21/2011,120,237,Winter,1,,Winter,2/21/2011 18:00
U110159CVP,2/22/2011,39,237,Fall/LateFall,0.771,,Fall,2/22/2011 16:00
U110160CVP,2/22/2011,131,237,Unassigned,0.508,,Winter,2/22/2011 16:00
U110158CVP,2/22/2011,145,237,Fall/LateFall,0.969,,Winter,2/22/2011 8:00
U110161CVP,2/22/2011,161,237,Winter,0.991,,Winter,2/22/2011 20:00
U110162CVP,2/22/2011,133,238,Winter,1,,Winter,2/22/2011 20:00
U110167CVP,2/23/2011,39,238,Fall/LateFall,0.996,,Fall,2/23/2011 6:00
U110163CVP,2/23/2011,144,238,Fall/LateFall,0.847,,Winter,2/23/2011 4:00
U110166CVP,2/23/2011,145,238,Fall/LateFall,0.927,,Winter,2/23/2011 6:00
U110171CVP,2/23/2011,176,238,Fall/LateFall,0.965,,Winter,2/23/2011 11:59
U110168CVP,2/23/2011,111,239,Winter,1,,Winter,2/23/2011 22:00
U110169CVP,2/23/2011,131,239,Spring,0.8,,Winter,2/23/2011 22:00
U110172CVP,2/24/2011,38,239,Fall/LateFall,0.94,,Fall,2/24/2011 8:00
U110173CVP,2/24/2011,124,239,Winter,0.998,,Winter,2/24/2011 18:00
U110174CVP,2/24/2011,135,239,Fall/LateFall,0.97,,Winter,2/24/2011 22:00
U110176CVP,2/24/2011,35,240,Fall/LateFall,0.988,,Fall,2/24/2011 22:00
U110175CVP,2/24/2011,129,240,Winter,1,,Winter,2/24/2011 22:00
U110177CVP,2/25/2011,37,240,Fall/LateFall,0.949,,Fall,2/25/2011 14:00
U110178CVP,2/25/2011,38,240,Fall/LateFall,0.982,,Fall,2/25/2011 14:00
U110179CVP,2/26/2011,105,242,Winter,1,,Winter,2/26/2011 18:00
U110182CVP,2/27/2011,36,242,Fall/LateFall,0.983,,Fall,2/27/2011 12:00
U110181CVP,2/27/2011,141,242,Fall/LateFall,0.905,,Winter,2/27/2011 2:00
U110184CVP,2/28/2011,37,243,Fall/LateFall,0.999,,Fall,2/28/2011 8:00
U110183CVP,2/28/2011,41,243,Spring,0.739,,Fall,2/28/2011 6:00
U110188CVP,3/1/2011,35,244,Fall/LateFall,0.998,,Fall,3/1/2011 2:00
U110190CVP,3/1/2011,37,244,Fall/LateFall,0.989,,Fall,3/1/2011 4:00
U110193CVP,3/1/2011,41,244,Fall/LateFall,1,,Fall,3/1/2011 8:00
U110189CVP,3/1/2011,120,244,Spring,0.768,,Winter,3/1/2011 4:00
U110191CVP,3/1/2011,146,244,Fall/LateFall,0.772,,Winter,3/1/2011 6:00
U110196CVP,3/2/2011,37,245,Fall/LateFall,0.96,,Fall,3/2/2011 6:00
U110195CVP,3/2/2011,53,245,Fall/LateFall,1,,Fall,3/2/2011 6:00
U110194CVP,3/2/2011,121,245,Spring,0.79,,Winter,3/2/2011 2:00
U110200CVP,3/3/2011,124,247,Winter,1,,Winter,3/3/2011 14:00
U110199CVP,3/3/2011,147,247,Spring,0.992,,Winter,3/3/2011 14:00
U110203CVP,3/3/2011,157,247,Fall/LateFall,0.991,,Winter,3/3/2011 22:00
U110206CVP,3/4/2011,125,247,Winter,1,,Winter,3/4/2011 16:00
U110208CVP,3/4/2011,128,247,Winter,1,,Winter,3/4/2011 20:00
U110207CVP,3/4/2011,39,248,Fall/LateFall,0.997,,Fall,3/4/2011 18:00
U110210CVP,3/5/2011,60,248,Fall/LateFall,0.97,,Fall,3/5/2011 14:00
U110211CVP,3/5/2011,129,248,Spring,0.706,,Winter,3/5/2011 18:00
U110213CVP,3/6/2011,120,249,Fall/LateFall,0.76,,Winter,3/6/2011 6:00
U110214CVP,3/6/2011,127,249,Winter,1,,Winter,3/6/2011 6:00
U110212CVP,3/6/2011,130,249,Winter,0.999,,Winter,3/6/2011 2:00
U110215CVP,3/6/2011,136,249,Winter,1,,Winter,3/6/2011 8:00
U110220CVP,3/7/2011,117,250,Fall/LateFall,0.776,,Winter,3/7/2011 8:00
U110217CVP,3/7/2011,130,250,Winter,1,,Winter,3/7/2011 4:00
U110216CVP,3/7/2011,140,250,Winter,1,,Winter,3/7/2011 4:00
U110218CVP,3/7/2011,150,250,Winter,0.992,,Winter,3/7/2011 6:00
U110221CVP,3/7/2011,138,251,Fall/LateFall,0.958,,Winter,3/7/2011 12:00
U110222CVP,3/8/2011,150,251,Winter,1,,Winter,3/8/2011 0:00
U110223CVP,3/8/2011,137,252,Fall/LateFall,0.968,,Winter,3/8/2011 14:00
U110224CVP,3/8/2011,146,252,Winter,1,,Winter,3/8/2011 14:00
U110226CVP,3/9/2011,72,252,Fall/LateFall,0.996,,Spring,3/9/2011 8:00
U110225CVP,3/9/2011,120,252,Winter,0.997,,Winter,3/9/2011 4:00
U110229CVP,3/9/2011,130,253,Winter,1,,Winter,3/9/2011 16:00
U110236CVP,3/10/2011,65,253,Fall/LateFall,1,,Spring,3/10/2011 0:00
U110230CVP,3/10/2011,100,253,Fall/LateFall,0.53,,Spring,3/10/2011 6:00
U110235CVP,3/10/2011,134,253,Winter,1,,Winter,3/10/2011 18:00
U110232CVP,3/10/2011,160,253,Winter,0.965,,Winter,3/10/2011 0:00
U110233CVP,3/10/2011,141,254,Spring,0.891,,Winter,3/10/2011 14:25
U110239CVP,3/11/2011,116,254,Winter,1,,Winter,3/11/2011 0:00
U110237CVP,3/11/2011,137,254,Fall/LateFall,0.775,,Winter,3/11/2011 0:00
U110238CVP,3/11/2011,140,254,Fall/LateFall,0.979,,Winter,3/11/2011 6:00
U110247CVP,3/11/2011,150,254,Spring,0.686,,Winter,3/11/2011 23:30
U110246CVP,3/11/2011,155,254,Winter,1,,Winter,3/11/2011 0:00
U110241CVP,3/11/2011,138,255,Unassigned,0.534,,Winter,3/11/2011 20:00
U110248CVP,3/12/2011,68,255,Winter,0.999,,Spring,3/12/2011 2:00
U110251CVP,3/12/2011,111,255,Winter,1,,Winter,3/12/2011 10:00
U110254CVP,3/12/2011,125,255,Unassigned,0.516,,Winter,3/12/2011 18:30
U110249CVP,3/12/2011,136,255,Winter,1,,Winter,3/12/2011 6:00
U110261CVP,3/12/2011,137,255,Winter,1,,Winter,3/12/2011 23:00
U110252CVP,3/12/2011,140,255,Fall/LateFall,0.695,,Winter,3/12/2011 10:00
U110259CVP,3/12/2011,141,255,Winter,1,,Winter,3/12/2011 19:30
U110258CVP,3/12/2011,146,255,Winter,1,,Winter,3/12/2011 19:00
U110250CVP,3/12/2011,150,255,Fall/LateFall,0.519,,Winter,3/12/2011 8:00
U110260CVP,3/12/2011,152,255,Fall/LateFall,0.836,,Winter,3/12/2011 19:30
U110253CVP,3/12/2011,138,256,Fall/LateFall,0.777,,Winter,3/12/2011 16:00
U110267CVP,3/13/2011,111,256,Spring,0.884,,Winter,3/13/2011 8:00
U110263CVP,3/13/2011,126,256,Winter,1,,Winter,3/13/2011 2:00
U110266CVP,3/13/2011,127,256,Winter,1,,Winter,3/13/2011 6:00
U110262CVP,3/13/2011,135,256,Winter,1,,Winter,3/13/2011 2:00
U110265CVP,3/13/2011,145,256,Winter,1,,Winter,3/13/2011 4:00
U110270CVP,3/13/2011,155,256,Fall/LateFall,0.953,,Winter,3/13/2011 20:00
U110269CVP,3/13/2011,125,257,Winter,1,,Winter,3/13/2011 20:00
U110276CVP,3/14/2011,95,257,Fall/LateFall,0.929,,Spring,3/14/2011 6:00
U110273CVP,3/14/2011,97,257,Fall/LateFall,0.886,,Spring,3/14/2011 4:00
U110275CVP,3/14/2011,134,257,Spring,0.858,,Winter,3/14/2011 4:00
U110274CVP,3/14/2011,135,257,Winter,1,,Winter,3/14/2011 4:00
U110277CVP,3/14/2011,140,257,Winter,1,,Winter,3/14/2011 10:00
U110278CVP,3/14/2011,141,257,Winter,0.998,,Winter,3/14/2011 14:00
U110279CVP,3/14/2011,141,257,Fall/LateFall,0.919,,Winter,3/14/2011 14:00
U110272CVP,3/14/2011,150,257,Fall/LateFall,0.974,,Winter,3/14/2011 2:00
U110286CVP,3/15/2011,129,258,Fall/LateFall,0.828,,Winter,3/15/2011 14:55
U110282CVP,3/15/2011,130,258,Winter,1,,Winter,3/15/2011 2:00
U110285CVP,3/15/2011,134,258,Winter,1,,Winter,3/15/2011 4:00
U110288CVP,3/15/2011,136,258,Winter,0.995,,Winter,3/15/2011 16:00
U110284CVP,3/15/2011,142,258,Winter,1,,Winter,3/15/2011 4:00
U110283CVP,3/15/2011,151,258,Fall/LateFall,0.927,,Winter,3/15/2011 2:00
U110287CVP,3/15/2011,142,259,Spring,0.97,,Winter,3/15/2011 16:00
U110289CVP,3/15/2011,150,259,Winter,1,,Winter,3/15/2011 16:00
U110290CVP,3/16/2011,110,259,Winter,1,,Winter,3/16/2011 4:00
U110291CVP,3/16/2011,131,259,Winter,1,,Winter,3/16/2011 12:00
U110292CVP,3/16/2011,141,259,Fall/LateFall,0.841,,Winter,3/16/2011 20:00
U110293CVP,3/17/2011,107,260,Fall/LateFall,0.959,,Winter,3/17/2011 2:00
U110295CVP,3/17/2011,138,260,Winter,1,,Winter,3/17/2011 8:00
U110294CVP,3/17/2011,160,260,Fall/LateFall,0.946,,Winter,3/17/2011 4:00
U110296CVP,3/17/2011,67,261,Fall/LateFall,1,,Spring,3/17/2011 22:00
U110299CVP,3/18/2011,85,261,Fall/LateFall,0.974,,Spring,3/18/2011 4:00
U110297CVP,3/18/2011,91,261,Fall/LateFall,0.997,,Spring,3/18/2011 2:00
U110298CVP,3/18/2011,135,261,Winter,1,,Winter,3/18/2011 4:00
U110305CVP,3/19/2011,90,262,Fall/LateFall,0.994,,Spring,3/19/2011 6:00
U110301CVP,3/19/2011,135,262,Fall/LateFall,0.851,,Winter,3/19/2011 4:00
U110302CVP,3/19/2011,135,262,Winter,0.999,,Winter,3/19/2011 4:00
U110303CVP,3/19/2011,140,262,Winter,1,,Winter,3/19/2011 6:00
U110304CVP,3/19/2011,142,262,Winter,0.998,,Winter,3/19/2011 6:00
U110300CVP,3/19/2011,144,262,Winter,0.999,,Winter,3/19/2011 2:00
U110308CVP,3/19/2011,137,263,Winter,1,,Winter,3/19/2011 20:00
U110307CVP,3/19/2011,138,263,Winter,1,,Winter,3/19/2011 20:00
U110310CVP,3/19/2011,141,263,Winter,1,,Winter,3/19/2011 20:00
U110309CVP,3/19/2011,160,263,Fall/LateFall,0.958,,Winter,3/19/2011 20:00
U110306CVP,3/19/2011,175,263,Fall/LateFall,0.996,,Winter,3/19/2011 20:00
U110316CVP,3/20/2011,76,263,Fall/LateFall,0.955,,Spring,3/20/2011 8:00
U110315CVP,3/20/2011,107,263,Winter,1,,Spring,3/20/2011 8:00
U110314CVP,3/20/2011,115,263,Fall/LateFall,0.968,,Winter,3/20/2011 6:00
U110311CVP,3/20/2011,135,263,Winter,1,,Winter,3/20/2011 2:00
U110312CVP,3/20/2011,141,263,Fall/LateFall,0.979,,Winter,3/20/2011 2:00
U110313CVP,3/20/2011,144,263,Spring,0.624,,Winter,3/20/2011 4:00
U110324CVP,3/20/2011,145,264,Fall/LateFall,0.99,,Winter,3/20/2011 20:00
U110318CVP,3/21/2011,145,264,Fall/LateFall,0.559,,Winter,3/21/2011 4:00
U110320CVP,3/21/2011,156,264,Fall/LateFall,0.922,,Winter,3/21/2011 6:00
U110319CVP,3/21/2011,173,264,Spring,0.822,,Winter,3/21/2011 6:00
U110321CVP,3/21/2011,120,265,Winter,1,,Winter,3/21/2011 22:00
U110323CVP,3/22/2011,130,265,Winter,1,,Winter,3/22/2011 4:00
U110322CVP,3/22/2011,143,265,Fall/LateFall,0.894,,Winter,3/22/2011 4:00
U110327CVP,3/22/2011,166,265,Fall/LateFall,0.983,,Winter,3/22/2011 20:00
U110329CVP,3/22/2011,105,266,Fall/LateFall,0.979,,Spring,3/22/2011 20:00
U110325CVP,3/22/2011,137,266,Winter,1,,Winter,3/22/2011 20:00
U110326CVP,3/22/2011,142,266,Fall/LateFall,0.993,,Winter,3/22/2011 20:00
U110332CVP,3/22/2011,145,266,Fall/LateFall,0.711,,Winter,3/22/2011 23:59
U110328CVP,3/22/2011,148,266,Fall/LateFall,0.739,,Winter,3/22/2011 20:00
U110333CVP,3/22/2011,151,266,Spring,0.549,,Winter,3/22/2011 23:59
U110330CVP,3/22/2011,210,266,Fall/LateFall,0.997,,Winter,3/22/2011 20:00
U110338CVP,3/23/2011,76,266,Fall/LateFall,1,,Spring,3/23/2011 2:00
U110339CVP,3/23/2011,80,266,Fall/LateFall,0.999,,Spring,3/23/2011 2:00
U110346CVP,3/23/2011,84,266,Fall/LateFall,0.998,,Spring,3/23/2011 8:00
U110347CVP,3/23/2011,89,266,Fall/LateFall,0.999,,Spring,3/23/2011 8:00
U110340CVP,3/23/2011,92,266,Fall/LateFall,1,,Spring,3/23/2011 6:00
U110344CVP,3/23/2011,92,266,Fall/LateFall,1,,Spring,3/23/2011 8:00
U110341CVP,3/23/2011,93,266,Fall/LateFall,1,,Spring,3/23/2011 6:00
U110345CVP,3/23/2011,101,266,Fall/LateFall,0.971,,Spring,3/23/2011 8:00
U110337CVP,3/23/2011,106,266,Spring,0.644,,Spring,3/23/2011 2:00
U110348CVP,3/23/2011,124,266,Winter,1,,Winter,3/23/2011 8:00
U110342CVP,3/23/2011,154,266,Winter,1,,Winter,3/23/2011 6:00
U110336CVP,3/23/2011,159,266,Fall/LateFall,0.9,,Winter,3/23/2011 2:00
U110335CVP,3/23/2011,168,266,Fall/LateFall,0.992,,Winter,3/23/2011 2:00
U110334CVP,3/23/2011,184,266,Fall/LateFall,0.979,,Winter,3/23/2011 2:00
U110349CVP,3/29/2011,70,272,Fall/LateFall,0.99,,Fall,3/29/2011 4:00
U110352CVP,3/30/2011,37,273,Fall/LateFall,0.982,,Fall,3/30/2011 13:00
U110354CVP,3/30/2011,37,273,Fall/LateFall,0.998,,Fall,3/30/2011 14:40
U110351CVP,3/30/2011,83,273,Fall/LateFall,1,,Spring,3/30/2011 2:00
U110350CVP,3/30/2011,100,273,Fall/LateFall,0.997,,Spring,3/30/2011 2:00
U110353CVP,3/30/2011,70,274,Fall/LateFall,1,,Fall,3/30/2011 14:00
U110356CVP,3/30/2011,90,274,Fall/LateFall,0.997,,Spring,3/30/2011 22:00
U110355CVP,3/30/2011,95,274,Fall/LateFall,0.984,,Spring,3/30/2011 22:00
U110358CVP,4/1/2011,77,275,Fall/LateFall,1,,Spring,4/1/2011 10:00
U110357CVP,4/1/2011,100,275,Fall/LateFall,0.999,,Spring,4/1/2011 2:00
U110361CVP,4/1/2011,109,275,Spring,0.863,,Spring,4/1/2011 16:30
U110359CVP,4/1/2011,87,276,Fall/LateFall,1,,Spring,4/1/2011 14:00
U110360CVP,4/1/2011,89,276,Fall/LateFall,0.989,,Spring,4/1/2011 16:00
U110362CVP,4/1/2011,91,276,Fall/LateFall,0.999,,Spring,4/1/2011 18:00
U110366CVP,4/2/2011,97,276,Fall/LateFall,0.942,,Spring,4/2/2011 18:00
U110364CVP,4/2/2011,97,276,Fall/LateFall,0.997,,Spring,4/2/2011 4:00
U110368CVP,4/2/2011,80,277,Fall/LateFall,0.998,,Spring,4/2/2011 20:00
U110367CVP,4/2/2011,87,277,Fall/LateFall,0.993,,Spring,4/2/2011 20:00
U110365CVP,4/2/2011,105,277,Fall/LateFall,0.999,,Spring,4/2/2011 16:00
U110369CVP,4/3/2011,82,277,Fall/LateFall,0.966,,Spring,4/3/2011 2:00
U110370CVP,4/3/2011,87,277,Fall/LateFall,0.748,,Spring,4/3/2011 20:00
U110371CVP,4/4/2011,81,278,Fall/LateFall,0.998,,Spring,4/4/2011 6:00
U110376CVP,4/4/2011,85,278,Fall/LateFall,0.922,,Spring,4/4/2011 20:00
U110381CVP,4/4/2011,88,278,Fall/LateFall,0.999,,Spring,4/4/2011 16:00
U110373CVP,4/4/2011,92,278,Fall/LateFall,0.916,,Spring,4/4/2011 16:00
U110374CVP,4/4/2011,91,279,Fall/LateFall,0.997,,Spring,4/4/2011 16:00
U110375CVP,4/4/2011,92,279,Fall/LateFall,0.998,,Spring,4/4/2011 18:00
U110378CVP,4/4/2011,93,279,Fall/LateFall,0.989,,Spring,4/4/2011 20:00
U110377CVP,4/4/2011,99,279,Fall/LateFall,0.998,,Spring,4/4/2011 20:00
U110380CVP,4/5/2011,110,280,Fall/LateFall,0.486,,Spring,4/5/2011 18:00
U110382CVP,4/7/2011,75,281,Fall/LateFall,0.991,,Fall,4/7/2011 11:15
U110383CVP,4/7/2011,91,282,Fall/LateFall,0.997,,Spring,4/7/2011 20:00
U110385CVP,4/8/2011,87,283,Fall/LateFall,0.997,,Spring,4/8/2011 20:00
U110384CVP,4/8/2011,113,283,Fall/LateFall,1,,Spring,4/8/2011 18:00
U110386CVP,4/9/2011,102,283,Fall/LateFall,0.996,,Spring,4/9/2011 2:00
U110388CVP,4/9/2011,109,284,Fall/LateFall,0.989,,Spring,4/9/2011 18:00
