ID,SampleDate,ForkLength,Julian,GeneticID,PosProb,Ots28,LengthByDate,FieldID
C170009DLC,2017-03-17,77,260,Fall/LateFall,0.5117,,Spring,B17-0109
C170010DLC,2017-03-17,70,260,Fall/LateFall,0.9793,,Spring,B17-0110
C170148DLC,2017-03-17,92,260,Spring,0.8688,,Spring,B17-0111
C170149DLC,2017-03-17,118,260,Fall/LateFall,0.9386,,Winter,B17-0112
C170150DLC,2017-03-17,112,260,Winter,1,,Winter,B17-0113
C170151DLC,2017-03-17,118,260,Winter,1,,Winter,B17-0114
C170011DLC,2017-03-18,66,261,Fall/LateFall,0.8248,,Fall,B17-0116
C170012DLC,2017-03-18,76,261,Fall/LateFall,0.9296,,Spring,B17-0117
C170152DLC,2017-03-18,120,261,Spring,0.9531,,Winter,B17-0115
C170153DLC,2017-03-18,141,261,Fall/LateFall,0.7144,,Winter,B17-0118
C170154DLC,2017-03-19,123,262,Winter,0.9999,,Winter,B17-0505
C170155DLC,2017-03-19,139,262,Winter,1,,Winter,B17-0506
C170156DLC,2017-03-19,94,262,Fall/LateFall,0.7368,,Spring,B17-0507
C170157DLC,2017-03-19,142,262,Fall/LateFall,0.5668,,Winter,B17-0508
C170158DLC,2017-03-19,115,262,Winter,1,,Winter,B17-0509
C170159DLC,2017-03-19,116,262,Winter,1,,Winter,B17-0510
C170160DLC,2017-03-19,100,262,Fall/LateFall,0.7064,,Spring,B17-0511
C170161DLC,2017-03-19,99,262,Fall/LateFall,0.9478,,Spring,B17-0512
C170162DLC,2017-03-19,124,262,Fall/LateFall,0.9147,,Winter,B17-0513
C170013DLC,2017-03-20,79,263,Fall/LateFall,0.7517,,Spring,B17-0498
C170014DLC,2017-03-20,86,263,Fall/LateFall,0.8972,,Spring,B17-0497
C170163DLC,2017-03-20,118,263,Winter,1,,Winter,B17-0496
C170164DLC,2017-03-20,105,263,Winter,1,,Spring,B17-0499
C170015DLC,2017-03-21,80,264,Spring,0.5051,,Spring,B17-0550
C170016DLC,2017-03-21,85,264,Fall/LateFall,0.8345,,Spring,B17-0552
C170017DLC,2017-03-21,65,264,Fall/LateFall,0.6196,,Fall,B17-0554
C170018DLC,2017-03-21,81,264,Fall/LateFall,0.6133,,Spring,B17-0500
C170019DLC,2017-03-21,82,264,Spring,0.7651,,Spring,B17-0501
C170165DLC,2017-03-21,100,264,Spring,0.9693,,Spring,B17-0549
C170166DLC,2017-03-21,101,264,Fall/LateFall,0.7671,,Spring,B17-0551
C170167DLC,2017-03-21,101,264,Spring,0.9967,,Spring,B17-0553
C170168DLC,2017-03-21,100,264,Fall/LateFall,0.7071,,Spring,B17-0555
C170169DLC,2017-03-21,123,264,Fall/LateFall,0.8367,,Winter,B17-0556
C170170DLC,2017-03-21,100,264,Fall/LateFall,0.9412,,Spring,B17-0557
C170171DLC,2017-03-21,96,264,Spring,0.9059,,Spring,B17-0542
C170172DLC,2017-03-21,99,264,Spring,0.9404,,Spring,B17-0543
C170020DLC,2017-03-23,72,266,Fall/LateFall,0.9822,,Spring,B17-0119
C170021DLC,2017-03-23,80,266,Fall/LateFall,0.7607,,Spring,B17-0120
C170022DLC,2017-03-23,88,266,Spring,0.5787,,Spring,B17-0121
C170023DLC,2017-03-23,82,266,Fall/LateFall,0.9951,,Spring,B17-0123
C170024DLC,2017-03-23,91,266,Fall/LateFall,0.6437,,Spring,B17-0124
C170025DLC,2017-03-23,87,266,Fall/LateFall,0.5602,,Spring,B17-0127
C170026DLC,2017-03-23,72,266,Fall/LateFall,0.9298,,Spring,B17-0502
C170027DLC,2017-03-23,91,266,Fall/LateFall,0.5698,,Spring,B17-0503
C170173DLC,2017-03-23,106,266,Fall/LateFall,0.6478,,Spring,B17-0122
C170174DLC,2017-03-23,96,266,Spring,0.9883,,Spring,B17-0125
C170175DLC,2017-03-23,97,266,Fall/LateFall,0.983,,Spring,B17-0126
C170028DLC,2017-03-25,84,268,Fall/LateFall,0.9086,,Spring,B17-0504
C170029DLC,2017-03-25,82,268,Fall/LateFall,0.59,,Spring,B17-0547
C170030DLC,2017-03-25,81,268,Fall/LateFall,0.7942,,Spring,B17-0546
C170031DLC,2017-03-25,86,268,Spring,0.7587,,Spring,B17-0544
C170032DLC,2017-03-25,85,268,Fall/LateFall,0.9255,,Spring,B17-0616
C170033DLC,2017-03-25,81,268,Fall/LateFall,0.9882,,Spring,B17-0621
C170034DLC,2017-03-25,82,268,Fall/LateFall,0.6477,,Spring,B17-0622
C170035DLC,2017-03-25,86,268,Fall/LateFall,0.9021,,Spring,B17-0623
C170036DLC,2017-03-25,78,268,Fall/LateFall,0.9859,,Spring,B17-0624
C170176DLC,2017-03-25,101,268,Fall/LateFall,0.9654,,Spring,B17-0548
C170177DLC,2017-03-25,97,268,Fall/LateFall,0.9921,,Spring,B17-0545
C170178DLC,2017-03-25,103,268,Fall/LateFall,0.7872,,Spring,B17-0615
C170179DLC,2017-03-25,103,268,Winter,1,,Spring,B17-0617
C170180DLC,2017-03-25,108,268,Fall/LateFall,0.7593,,Spring,B17-0618
C170181DLC,2017-03-25,95,268,Fall/LateFall,0.5491,,Spring,B17-0619
C170182DLC,2017-03-25,97,268,Fall/LateFall,0.7938,,Spring,B17-0620
C170183DLC,2017-03-25,158,268,Winter,1,,Winter,B17-0625
C170037DLC,2017-03-26,74,269,Fall/LateFall,0.8947,,Spring,B17-0676
C170038DLC,2017-03-26,71,269,Fall/LateFall,0.9318,,Spring,B17-0677
C170039DLC,2017-03-26,83,269,Fall/LateFall,0.9504,,Spring,B17-0678
C170040DLC,2017-03-26,80,269,Fall/LateFall,0.8063,,Spring,B17-0680
C170041DLC,2017-03-26,94,269,Fall/LateFall,0.622,,Spring,B17-0681
C170042DLC,2017-03-26,80,269,Fall/LateFall,0.6946,,Spring,B17-0682
C170184DLC,2017-03-26,98,269,Fall/LateFall,0.829,,Spring,B17-0679
C170043DLC,2017-03-27,84,270,Fall/LateFall,0.7817,,Spring,B17-0685
C170044DLC,2017-03-27,74,270,Fall/LateFall,0.9907,,Spring,B17-0687
C170045DLC,2017-03-27,85,270,Fall/LateFall,0.9023,,Spring,B17-0688
C170046DLC,2017-03-27,95,270,Fall/LateFall,0.5501,,Spring,B17-0690
C170047DLC,2017-03-27,71,270,Fall/LateFall,0.9596,,Spring,B17-0691
C170048DLC,2017-03-27,70,270,Fall/LateFall,0.9326,,Fall,B17-0693
C170049DLC,2017-03-27,75,270,Fall/LateFall,0.8987,,Spring,B17-0694
C170050DLC,2017-03-27,90,270,Fall/LateFall,0.9976,,Spring,B17-0696
C170051DLC,2017-03-27,94,270,Fall/LateFall,0.9449,,Spring,B17-0697
C170052DLC,2017-03-27,86,270,Spring,0.5537,,Spring,B17-0698
C170053DLC,2017-03-27,85,270,Fall/LateFall,0.9878,,Spring,B17-0699
C170185DLC,2017-03-27,103,270,Fall/LateFall,0.7916,,Spring,B17-0683
C170186DLC,2017-03-27,105,270,Spring,0.9377,,Spring,B17-0684
C170187DLC,2017-03-27,100,270,Fall/LateFall,0.9562,,Spring,B17-0686
C170188DLC,2017-03-27,102,270,Fall/LateFall,0.6521,,Spring,B17-0689
C170189DLC,2017-03-27,118,270,Winter,1,,Winter,B17-0692
C170190DLC,2017-03-27,136,270,Winter,1,,Winter,B17-0695
C170191DLC,2017-03-27,98,270,Spring,0.8539,,Spring,B17-0700
C170192DLC,2017-03-27,102,270,Fall/LateFall,0.8989,,Spring,B17-0701
C170193DLC,2017-03-27,104,270,Spring,0.9417,,Spring,B17-0703
C170054DLC,2017-03-28,91,271,Fall/LateFall,0.7648,,Spring,B17-0708
C170055DLC,2017-03-28,88,271,Fall/LateFall,0.8624,,Spring,B17-0709
C170056DLC,2017-03-28,84,271,Fall/LateFall,0.9546,,Spring,B17-0710
C170057DLC,2017-03-28,78,271,Fall/LateFall,0.9809,,Spring,B17-0712
C170058DLC,2017-03-28,94,271,Fall/LateFall,0.922,,Spring,B17-0713
C170059DLC,2017-03-28,82,271,Fall/LateFall,0.972,,Spring,B17-0714
C170060DLC,2017-03-28,91,271,Fall/LateFall,0.8906,,Spring,B17-0715
C170061DLC,2017-03-28,74,271,Spring,0.7268,,Spring,B17-0716
C170062DLC,2017-03-28,90,271,Fall/LateFall,0.7565,,Spring,B17-0720
C170063DLC,2017-03-28,69,271,Fall/LateFall,0.9456,,Fall,B17-0721
C170064DLC,2017-03-28,90,271,Fall/LateFall,0.6057,,Spring,B17-0722
C170194DLC,2017-03-28,104,271,Spring,0.9896,,Spring,B17-0704
C170195DLC,2017-03-28,100,271,Spring,0.6922,,Spring,B17-0705
C170196DLC,2017-03-28,160,271,Spring,0.8787,,Winter,B17-0706
C170197DLC,2017-03-28,111,271,Fall/LateFall,0.8794,,Spring,B17-0707
C170198DLC,2017-03-28,101,271,Spring,0.9969,,Spring,B17-0711
C170199DLC,2017-03-28,106,271,Fall/LateFall,0.9527,,Spring,B17-0717
C170200DLC,2017-03-28,112,271,Spring,0.9954,,Spring,B17-0718
C170201DLC,2017-03-28,101,271,Fall/LateFall,0.6377,,Spring,B17-0719
C170065DLC,2017-03-29,72,272,Fall/LateFall,0.602,,Spring,B17-0724
C170066DLC,2017-03-29,93,272,Spring,0.6971,,Spring,B17-0727
C170067DLC,2017-03-29,78,272,Spring,0.8391,,Spring,B17-0728
C170068DLC,2017-03-29,90,272,Fall/LateFall,0.9687,,Spring,B17-0729
C170069DLC,2017-03-29,80,272,Fall/LateFall,0.9915,,Spring,B17-0730
C170070DLC,2017-03-29,83,272,Fall/LateFall,0.5229,,Spring,B17-0731
C170071DLC,2017-03-29,85,272,Fall/LateFall,0.8034,,Spring,B17-0732
C170072DLC,2017-03-29,94,272,Fall/LateFall,0.9938,,Spring,B17-0735
C170073DLC,2017-03-29,76,272,Fall/LateFall,0.9513,,Spring,B17-0739
C170074DLC,2017-03-29,78,272,Fall/LateFall,0.9786,,Spring,B17-0740
C170202DLC,2017-03-29,109,272,Spring,0.8536,,Spring,B17-0723
C170203DLC,2017-03-29,102,272,Fall/LateFall,0.9796,,Spring,B17-0726
C170204DLC,2017-03-29,107,272,Fall/LateFall,0.9342,,Spring,B17-0733
C170205DLC,2017-03-29,103,272,Fall/LateFall,0.9363,,Spring,B17-0734
C170206DLC,2017-03-29,103,272,Spring,0.6023,,Spring,B17-0736
C170207DLC,2017-03-29,117,272,Winter,1,,Spring,B17-0737
C170208DLC,2017-03-29,99,272,Fall/LateFall,0.5814,,Spring,B17-0738
C170209DLC,2017-03-29,104,272,Fall/LateFall,0.9643,,Spring,B17-0741
C170210DLC,2017-03-29,109,272,Spring,0.8319,,Spring,B17-0742
C170211DLC,2017-03-29,104,272,Fall/LateFall,0.9111,,Spring,B17-0743
C170212DLC,2017-03-29,104,272,Spring,0.9738,,Spring,B17-0744
C170075DLC,2017-03-31,82,274,Fall/LateFall,0.8092,,Spring,B17-0750
C170076DLC,2017-03-31,88,274,Fall/LateFall,0.8738,,Spring,B17-0751
C170077DLC,2017-03-31,84,274,Fall/LateFall,0.6677,,Spring,B17-0752
C170078DLC,2017-03-31,96,274,Fall/LateFall,0.9453,,Spring,B17-0753
C170079DLC,2017-03-31,75,274,Fall/LateFall,0.5084,,Spring,B17-0754
C170080DLC,2017-03-31,91,274,Fall/LateFall,0.6054,,Spring,B17-0745
C170081DLC,2017-03-31,84,274,Fall/LateFall,0.9097,,Spring,B17-0746
C170082DLC,2017-03-31,91,274,Fall/LateFall,0.9333,,Spring,B17-0784
C170083DLC,2017-03-31,76,274,Fall/LateFall,0.9446,,Spring,B17-0785
C170084DLC,2017-03-31,96,274,Fall/LateFall,0.9881,,Spring,B17-0788
C170213DLC,2017-03-31,101,274,Spring,0.9797,,Spring,B17-0755
C170214DLC,2017-03-31,106,274,Fall/LateFall,0.8454,,Spring,B17-0756
C170215DLC,2017-03-31,104,274,Spring,0.9931,,Spring,B17-0747
C170216DLC,2017-03-31,104,274,Spring,0.893,,Spring,B17-0748
C170217DLC,2017-03-31,104,274,Spring,0.9993,,Spring,B17-0749
C170218DLC,2017-03-31,110,274,Fall/LateFall,0.9902,,Spring,B17-0782
C170219DLC,2017-03-31,109,274,Fall/LateFall,0.8234,,Spring,B17-0783
C170220DLC,2017-03-31,118,274,Spring,0.997,,Spring,B17-0786
C170221DLC,2017-03-31,109,274,Spring,1,,Spring,B17-0787
C170222DLC,2017-03-31,106,274,Fall/LateFall,0.9858,,Spring,B17-0789
C170223DLC,2017-03-31,104,274,Spring,0.6379,,Spring,B17-0790
C170224DLC,2017-03-31,107,274,Spring,0.9989,,Spring,B17-0791
C170225DLC,2017-03-31,111,274,Fall/LateFall,0.9277,,Spring,B17-0792
C170226DLC,2017-03-31,110,274,Fall/LateFall,0.8234,,Spring,B17-0793
C170227DLC,2017-03-31,104,274,Spring,0.9882,,Spring,B17-0794
C170228DLC,2017-03-31,110,274,Fall/LateFall,0.9659,,Spring,B17-0795
C170085DLC,2017-04-01,83,275,Fall/LateFall,0.9887,,Spring,B17-0856
C170086DLC,2017-04-01,83,275,Fall/LateFall,0.8944,,Spring,B17-0865
C170087DLC,2017-04-01,82,275,Fall/LateFall,0.5854,,Spring,B17-0866
C170088DLC,2017-04-01,88,275,Fall/LateFall,0.9184,,Spring,B17-0867
C170089DLC,2017-04-01,95,275,Fall/LateFall,0.8448,,Spring,B17-0869
C170090DLC,2017-04-01,88,275,Fall/LateFall,0.9625,,Spring,B17-0871
C170091DLC,2017-04-01,89,275,Fall/LateFall,0.8925,,Spring,B17-0857
C170092DLC,2017-04-01,92,275,Fall/LateFall,0.9558,,Spring,B17-0858
C170093DLC,2017-04-01,84,275,Fall/LateFall,0.9973,,Spring,B17-0859
C170094DLC,2017-04-01,79,275,Fall/LateFall,0.926,,Spring,B17-0860
C170229DLC,2017-04-01,115,275,Fall/LateFall,0.9252,,Spring,B17-0864
C170230DLC,2017-04-01,104,275,Spring,0.7152,,Spring,B17-0868
C170231DLC,2017-04-01,117,275,Spring,0.9839,,Spring,B17-0870
C170232DLC,2017-04-01,104,275,Spring,0.9997,,Spring,B17-0861
C170233DLC,2017-04-01,99,275,Fall/LateFall,0.8079,,Spring,B17-0862
C170234DLC,2017-04-01,101,275,Fall/LateFall,0.979,,Spring,B17-0863
C170235DLC,2017-04-01,105,275,Fall/LateFall,0.9715,,Spring,B17-0854
C170236DLC,2017-04-01,106,275,Fall/LateFall,0.7534,,Spring,B17-0855
C170237DLC,2017-04-01,102,275,Spring,0.9395,,Spring,B17-0853
C170238DLC,2017-04-01,105,275,Spring,0.9419,,Spring,B17-0626
C170239DLC,2017-04-01,109,275,Spring,0.6376,,Spring,B17-0627
C170240DLC,2017-04-01,107,275,Spring,0.9766,,Spring,B17-0135
C170241DLC,2017-04-01,103,275,Spring,0.9745,,Spring,B17-0844
C170242DLC,2017-04-01,99,275,Fall/LateFall,0.872,,Spring,B17-0845
C170243DLC,2017-04-01,110,275,Fall/LateFall,0.7289,,Spring,B17-0814
C170244DLC,2017-04-01,99,275,Spring,0.9679,,Spring,B17-0815
C170095DLC,2017-04-02,84,276,Spring,0.923,,Spring,B17-0130
C170096DLC,2017-04-02,82,276,Fall/LateFall,0.8808,,Spring,B17-0796
C170097DLC,2017-04-02,94,276,Fall/LateFall,0.8265,,Spring,B17-0797
C170098DLC,2017-04-02,83,276,Fall/LateFall,0.7641,,Spring,B17-0798
C170099DLC,2017-04-02,97,276,Fall/LateFall,0.645,,Spring,B17-0799
C170100DLC,2017-04-02,96,276,Spring,0.9908,,Spring,B17-0816
C170101DLC,2017-04-02,98,276,Fall/LateFall,0.7367,,Spring,B17-0131
C170102DLC,2017-04-02,94,276,Fall/LateFall,0.9745,,Spring,B17-0810
C170103DLC,2017-04-02,94,276,Fall/LateFall,0.9786,,Spring,B17-0811
C170104DLC,2017-04-02,78,276,Fall/LateFall,0.9639,,Spring,B17-0133
C170105DLC,2017-04-02,70,276,Fall/LateFall,0.9537,,Fall,B17-0891
C170245DLC,2017-04-02,114,276,Spring,0.9961,,Spring,B17-0132
C170246DLC,2017-04-02,104,276,Fall/LateFall,0.9168,,Spring,B17-0134
C170247DLC,2017-04-02,107,276,Spring,0.9824,,Spring,B17-0812
C170248DLC,2017-04-02,104,276,Fall/LateFall,0.9826,,Spring,B17-0813
C170249DLC,2017-04-02,109,276,Fall/LateFall,0.8198,,Spring,B17-0880
C170250DLC,2017-04-02,100,276,Fall/LateFall,0.9882,,Spring,B17-0889
C170251DLC,2017-04-02,110,276,Spring,0.5819,,Spring,B17-0882
C170252DLC,2017-04-02,101,276,Fall/LateFall,0.8242,,Spring,B17-0887
C170253DLC,2017-04-02,102,276,Fall/LateFall,0.5773,,Spring,B17-0890
C170254DLC,2017-04-02,117,276,Fall/LateFall,0.8896,,Spring,B17-0883
C170255DLC,2017-04-02,110,276,Spring,0.9998,,Spring,B17-0884
C170256DLC,2017-04-02,105,276,Spring,0.696,,Spring,B17-0885
C170106DLC,2017-04-03,74,277,Fall/LateFall,0.9254,,Spring,B17-0904
C170107DLC,2017-04-03,75,277,Fall/LateFall,0.6483,,Spring,B17-0914
C170108DLC,2017-04-03,74,277,Fall/LateFall,0.9715,,Spring,B17-0894
C170109DLC,2017-04-03,95,277,Fall/LateFall,0.881,,Spring,B17-0913
C170110DLC,2017-04-03,93,277,Fall/LateFall,0.9894,,Spring,B17-0915
C170257DLC,2017-04-03,107,277,Spring,0.9995,,Spring,B17-0888
C170258DLC,2017-04-03,104,277,Fall/LateFall,0.9727,,Spring,B17-0892
C170259DLC,2017-04-03,108,277,Spring,0.7137,,Spring,B17-0893
C170260DLC,2017-04-03,104,277,Fall/LateFall,0.9721,,Spring,B17-0898
C170261DLC,2017-04-03,104,277,Fall/LateFall,0.8997,,Spring,B17-0900
C170262DLC,2017-04-03,101,277,Fall/LateFall,0.9852,,Spring,B17-0902
C170263DLC,2017-04-03,102,277,Spring,0.9993,,Spring,B17-0906
C170264DLC,2017-04-03,116,277,Spring,0.9967,,Spring,B17-0899
C170265DLC,2017-04-03,107,277,Fall/LateFall,0.98,,Spring,B17-0901
C170266DLC,2017-04-03,112,277,Spring,0.9816,,Spring,B17-0903
C170267DLC,2017-04-03,110,277,Fall/LateFall,0.6748,,Spring,B17-0905
C170268DLC,2017-04-03,103,277,Fall/LateFall,0.7956,,Spring,B17-0896
C170111DLC,2017-04-04,95,278,Fall/LateFall,0.9381,,Spring,B17-0886
C170112DLC,2017-04-04,99,278,Fall/LateFall,0.9098,,Spring,B17-0897
C170113DLC,2017-04-04,84,278,Fall/LateFall,0.9746,,Spring,B17-0907
C170114DLC,2017-04-04,98,278,Fall/LateFall,0.9673,,Spring,B17-0909
C170115DLC,2017-04-04,97,278,Fall/LateFall,0.8005,,Spring,B17-0911
C170116DLC,2017-04-04,70,278,Fall/LateFall,0.955,,Fall,B17-0908
C170117DLC,2017-04-04,74,278,Spring,0.8755,,Fall,B17-0926
C170118DLC,2017-04-04,73,278,Fall/LateFall,0.9702,,Fall,B17-0927
C170119DLC,2017-04-04,70,278,Fall/LateFall,0.9579,,Fall,B17-0919
C170120DLC,2017-04-04,74,278,Fall/LateFall,0.9198,,Fall,B17-0942
C170269DLC,2017-04-04,105,278,Fall/LateFall,0.9306,,Spring,B17-0895
C170271DLC,2017-04-04,113,278,Spring,1,,Spring,B17-0925
C170272DLC,2017-04-04,107,278,Fall/LateFall,0.7628,,Spring,B17-0941
C170273DLC,2017-04-04,104,278,Fall/LateFall,0.5533,,Spring,B17-0940
C170274DLC,2017-04-04,108,278,Spring,0.994,,Spring,B17-0921
C170275DLC,2017-04-04,104,278,Spring,0.5612,,Spring,B17-0938
C170276DLC,2017-04-04,106,278,Spring,0.6521,,Spring,B17-0939
C170277DLC,2017-04-04,104,278,Spring,0.9368,,Spring,B17-0923
C170278DLC,2017-04-04,137,278,Winter,1,,Winter,B17-0937
C170279DLC,2017-04-05,110,279,Spring,0.9998,,Spring,B17-0910
C170280DLC,2017-04-05,106,279,Fall/LateFall,0.8537,,Spring,B17-0912
C170281DLC,2017-04-05,104,279,Spring,0.8857,,Spring,B17-0916
C170282DLC,2017-04-05,124,279,Fall/LateFall,0.5948,,Spring,B17-0924
C170283DLC,2017-04-05,108,279,Spring,0.9853,,Spring,B17-0928
C170284DLC,2017-04-05,123,279,Fall/LateFall,0.9847,,Spring,B17-0930
C170285DLC,2017-04-05,105,279,Spring,0.9999,,Spring,B17-0932
C170286DLC,2017-04-05,107,279,Fall/LateFall,0.9898,,Spring,B17-0918
C170287DLC,2017-04-05,106,279,Spring,0.9998,,Spring,B17-0920
C170288DLC,2017-04-05,105,279,Fall/LateFall,0.9868,,Spring,B17-0922
C170289DLC,2017-04-05,109,279,Fall/LateFall,0.9364,,Spring,B17-0989
C170290DLC,2017-04-05,102,279,Fall/LateFall,0.8958,,Spring,B17-0929
C170291DLC,2017-04-05,109,279,Fall/LateFall,0.6943,,Spring,B17-0931
C170292DLC,2017-04-05,108,279,Fall/LateFall,0.9956,,Spring,B17-0933
C170293DLC,2017-04-05,102,279,Fall/LateFall,0.9513,,Spring,B17-0979
C170294DLC,2017-04-05,103,279,Spring,0.9103,,Spring,B17-0980
C170295DLC,2017-04-05,112,279,Fall/LateFall,0.5113,,Spring,B17-0981
C170296DLC,2017-04-05,104,279,Spring,0.7971,,Spring,B17-0982
C170297DLC,2017-04-05,117,279,Spring,0.8338,,Spring,B17-0983
C170298DLC,2017-04-05,106,279,Spring,0.9555,,Spring,B17-0984
C170299DLC,2017-04-05,116,279,Fall/LateFall,0.9947,,Spring,B17-0985
C170300DLC,2017-04-05,108,279,Fall/LateFall,0.9133,,Spring,B17-0986
C170301DLC,2017-04-05,105,279,Fall/LateFall,0.9992,,Spring,B17-0987
C170302DLC,2017-04-05,103,279,Fall/LateFall,0.9971,,Spring,B17-0988
C170303DLC,2017-04-06,107,280,Spring,1,,Spring,B17-0990
C170304DLC,2017-04-06,114,280,Fall/LateFall,0.5153,,Spring,B17-0991
C170305DLC,2017-04-06,103,280,Fall/LateFall,0.8582,,Spring,B17-0992
C170306DLC,2017-04-06,107,280,Spring,0.9983,,Spring,B17-0993
C170307DLC,2017-04-06,108,280,Fall/LateFall,0.9961,,Spring,B17-0994
C170308DLC,2017-04-06,107,280,Fall/LateFall,0.9828,,Spring,B17-0995
C170309DLC,2017-04-06,113,280,Fall/LateFall,0.9898,,Spring,B17-0996
C170310DLC,2017-04-08,106,282,Fall/LateFall,0.9999,,Spring,B17-0997
C170311DLC,2017-04-08,107,282,Spring,0.9994,,Spring,B17-0998
C170312DLC,2017-04-08,105,282,Fall/LateFall,0.9475,,Spring,B17-0999
C170313DLC,2017-04-08,107,282,Fall/LateFall,0.76,,Spring,B17-1000
C170314DLC,2017-04-08,105,282,Spring,0.999,,Spring,B17-1001
C170315DLC,2017-04-08,112,282,Fall/LateFall,0.9462,,Spring,B17-1002
C170316DLC,2017-04-08,111,282,Fall/LateFall,0.9961,,Spring,B17-1003
C170317DLC,2017-04-08,106,282,Fall/LateFall,0.9986,,Spring,B17-1004
C170318DLC,2017-04-08,105,282,Fall/LateFall,0.9852,,Spring,B17-1005
C170319DLC,2017-04-08,104,282,Fall/LateFall,0.993,,Spring,B17-1006
C170320DLC,2017-04-08,106,282,Fall/LateFall,0.9544,,Spring,B17-1007
C170321DLC,2017-04-08,105,282,Fall/LateFall,0.9822,,Spring,B17-1008
C170322DLC,2017-04-08,110,282,Winter,1,,Spring,B17-1009
C170323DLC,2017-04-08,105,282,Fall/LateFall,0.9806,,Spring,B17-1039
C170324DLC,2017-04-08,105,282,Fall/LateFall,0.9634,,Spring,B17-1038
C170325DLC,2017-04-08,109,282,Fall/LateFall,0.9995,,Spring,B17-1036
C170326DLC,2017-04-08,114,282,Fall/LateFall,0.9622,,Spring,B17-1037
C170327DLC,2017-04-08,112,282,Fall/LateFall,0.9895,,Spring,B17-1034
C170328DLC,2017-04-08,106,282,Spring,0.9995,,Spring,B17-1035
C170329DLC,2017-04-09,122,283,Fall/LateFall,0.9903,,Spring,B17-1010
C170330DLC,2017-04-09,106,283,Fall/LateFall,0.9986,,Spring,B17-1011
C170331DLC,2017-04-09,105,283,Spring,0.9995,,Spring,B17-1012
C170332DLC,2017-04-09,111,283,Fall/LateFall,0.9763,,Spring,B17-1013
C170333DLC,2017-04-09,106,283,Spring,0.9998,,Spring,B17-1014
